,start station id,start station latitude,start station longitude,end station latitude,end station longitude,gender,borough,ageintervals,tripdurationintervals,timeminutes,degrees
163,127,40.73172428,-74.00674436,40.74475148,-73.99915362,1,Manhattan,15.0,4.0,4.0,4.0
164,3002,40.711512,-74.01575600000002,40.70834698,-74.01713445,1,Manhattan,22.0,2.0,4.0,25.0
165,276,40.71748752,-74.0104554,40.71117416,-74.00016545,1,Manhattan,20.0,3.0,4.0,15.0
166,402,40.74034320000001,-73.98955109,40.73492695,-73.99200509,1,Manhattan,12.0,1.0,4.0,26.0
167,2021,40.75929124,-73.98859651,40.746646999999996,-73.993915,2,Manhattan,16.0,4.0,4.0,25.0
168,352,40.76340613,-73.97722479,40.7451677,-73.98683077,1,Manhattan,21.0,4.0,4.0,26.0
169,380,40.73401143,-74.00293877,40.73649403,-73.99704374,1,Manhattan,21.0,1.0,4.0,8.0
170,415,40.7047177,-74.00926027,40.711512,-74.01575600000002,2,Manhattan,12.0,6.0,5.0,40.0
171,332,40.71219906,-73.97948148,40.71286844,-73.95698119,1,Manhattan,13.0,14.0,5.0,11.0
172,294,40.73049393,-73.99572140000002,40.76227205,-73.98788205,1,Manhattan,15.0,12.0,5.0,2.0
173,306,40.70823502,-74.00530063,40.70122128,-74.01234218,1,Manhattan,30.0,3.0,5.0,28.0
174,439,40.726280700000004,-73.98978041,40.72740794,-73.98142006,1,Manhattan,14.0,2.0,5.0,10.0
175,404,40.7405826,-74.00550867,40.74734825,-73.99723551,1,Manhattan,27.0,4.0,5.0,6.0
176,498,40.74854862,-73.98808416,40.76584941,-73.98690506,2,Manhattan,14.0,9.0,5.0,1.0
177,363,40.70834698,-74.01713445,40.711512,-74.01575600000002,2,Manhattan,11.0,15.0,5.0,3.0
178,426,40.71754834,-74.01322069,40.75756989999999,-73.99098507,1,Manhattan,15.0,10.0,5.0,4.0
179,447,40.76370739,-73.9851615,40.752062306999996,-73.9816324043,1,Manhattan,14.0,6.0,5.0,20.0
180,363,40.70834698,-74.01713445,40.711512,-74.01575600000002,1,Manhattan,22.0,15.0,5.0,3.0
181,546,40.74444921,-73.98303529,40.74395411,-73.99144871,1,Manhattan,26.0,2.0,5.0,33.0
182,494,40.74734825,-73.99723551,40.76727216,-73.99392888,1,Manhattan,14.0,8.0,5.0,1.0
183,417,40.71291224,-74.01020234,40.71291224,-74.01020234,1,Manhattan,16.0,1.0,5.0,34.0
184,473,40.72110063,-73.99192540000001,40.728145,-73.990214,1,Manhattan,13.0,3.0,5.0,2.0
185,487,40.73314259,-73.97573881,40.720873600000004,-73.98085795,1,Manhattan,12.0,3.0,5.0,25.0
186,485,40.75038009,-73.98338988,40.75513557,-73.98658032,1,Manhattan,21.0,1.0,5.0,41.0
187,336,40.73047747,-73.99906065,40.73492695,-73.99200509,1,Manhattan,13.0,2.0,5.0,7.0
188,336,40.73047747,-73.99906065,40.73492695,-73.99200509,1,Manhattan,14.0,2.0,5.0,7.0
189,447,40.76370739,-73.9851615,40.73704984,-73.99009296,1,Manhattan,10.0,8.0,5.0,24.0
190,449,40.76461837,-73.98789473,40.75971079999999,-73.97402311,1,Manhattan,14.0,3.0,5.0,14.0
191,536,40.74144387,-73.97536082,40.73912601,-73.97973776,1,Manhattan,18.0,1.0,5.0,30.0
192,147,40.71542197,-74.01121978,40.75038009,-73.98338988,1,Manhattan,23.0,13.0,5.0,5.0
193,312,40.722055,-73.989111,40.72317958,-73.99480012,1,Manhattan,16.0,1.0,5.0,35.0
194,369,40.73224119,-74.00026394,40.74345335,-74.00004031,1,Manhattan,16.0,3.0,5.0,1.0
195,285,40.73454567,-73.99074142,40.72317958,-73.99480012,2,Manhattan,25.0,4.0,5.0,25.0
196,447,40.76370739,-73.9851615,40.74691959,-74.00451887,1,Manhattan,18.0,10.0,5.0,29.0
197,334,40.74238787,-73.99726235,40.72362738,-73.99949601,1,Manhattan,17.0,10.0,5.0,23.0
198,445,40.72740794,-73.98142006,40.73624527,-73.98473765,1,Manhattan,11.0,3.0,5.0,42.0
199,403,40.72502876,-73.99069656,40.72955361,-73.98057249,1,Manhattan,19.0,3.0,5.0,8.0
200,444,40.742354299999995,-73.98915076,40.742354299999995,-73.98915076,1,Manhattan,18.0,19.0,6.0,34.0
201,265,40.72229346,-73.99147535,40.69474881,-73.98362464,1,Manhattan,12.0,8.0,6.0,21.0
202,447,40.76370739,-73.9851615,40.74691959,-74.00451887,1,Manhattan,19.0,10.0,6.0,29.0
203,496,40.73726186,-73.99238967,40.72938685,-73.97772429,2,Manhattan,13.0,5.0,6.0,15.0
204,494,40.74734825,-73.99723551,40.771522,-73.99054100000002,1,Manhattan,16.0,16.0,6.0,2.0
205,523,40.75466591,-73.99138152,40.73221853,-73.98165557,1,Manhattan,22.0,8.0,6.0,20.0
206,494,40.74734825,-73.99723551,40.771522,-73.99054100000002,1,Manhattan,15.0,16.0,6.0,2.0
